Cardinals,Commanders,Giants,Cowboys,49ers,Bengals,Rams,Seahawks,Ravens,Browns,Falcons,Texans,Rams,Steelers,49ers,Bears,Eagles,Seahawks
,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,4-3,4-4,3-4,3-5,4-3,5-3,2-6,7-1,5-2
Packers,Bears,Falcons,Saints,Lions,Raiders,Broncos,Vikings,Rams,Steelers,Chargers,Lions,Chiefs,Giants,Buccaneers,Panthers,Vikings,Bears
,WIN,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,3-5,4-3,3-4,6-2,6-2,2-6,3-4,1-6,4-4,2-6
Bengals,Browns,Ravens,Rams,Titans,Cardinals,Seahawks,49ers,Bills,Texans,Ravens,Steelers,Jaguars,Colts,Vikings,Steelers,Chiefs,Browns
,LOSE,LOSE,WIN,LOSE,WIN,WIN,WIN,5-3,3-4,6-2,4-3,6-2,3-5,4-4,4-3,6-2,4-3
Jets,Bills,Cowboys,Patriots,Chiefs,Broncos,Eagles,Giants,Chargers,Raiders,Bills,Dolphins,Falcons,Texans,Dolphins,Commanders,Browns,Patriots
,WIN,LOSE,LOSE,LOSE,WIN,WIN,WIN,3-4,3-5,5-3,6-2,4-4,3-4,6-2,3-5,4-3,2-6
49ers,Steelers,Rams,Giants,Cardinals,Cowboys,Browns,Vikings,Bengals,Jaguars,Buccaneers,Seahawks,Eagles,Seahawks,Cardinals,Ravens,Commanders,Rams
,WIN,WIN,WIN,WIN,WIN,LOSE,LOSE,LOSE,6-2,3-4,5-2,7-1,5-2,1-7,6-2,3-5,3-5
Seahawks,Rams,Lions,Panthers,Giants,Bengals,Cardinals,Browns,Ravens,Commanders,Rams,49ers,Cowboys,49ers,Eagles,Titans,Steelers,Cardinals
,LOSE,WIN,WIN,WIN,LOSE,WIN,WIN,6-2,3-5,3-5,5-3,5-2,5-3,7-1,3-4,4-3,1-7
Commanders,Cardinals,Broncos,Bills,Eagles,Bears,Falcons,Giants,Eagles,Patriots,Seahawks,Giants,Cowboys,Dolphins,Rams,Jets,49ers,Cowboys
,WIN,WIN,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,2-6,5-2,2-6,5-2,6-2,3-5,4-3,5-3,5-2
Ravens,Texans,Bengals,Colts,Browns,Steelers,Titans,Lions,Cardinals,Seahawks,Browns,Bengals,Chargers,Rams,Jaguars,49ers,Dolphins,Steelers
,WIN,WIN,LOSE,WIN,LOSE,WIN,WIN,WIN,5-2,4-3,4-3,3-4,3-5,6-2,5-3,6-2,4-3
Panthers,Falcons,Saints,Seahawks,Vikings,Lions,Dolphins,Texans,Colts,Bears,Cowboys,Titans,Buccaneers,Saints,Falcons,Packers,Jaguars,Buccaneers
,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,3-5,2-6,5-2,3-4,3-4,4-4,4-4,2-5,6-2,3-4
Lions,Chiefs,Seahawks,Falcons,Packers,Panthers,Buccaneers,Ravens,Raiders,Chargers,Bears,Packers,Saints,Bears,Broncos,Vikings,Cowboys,Vikings
,WIN,LOSE,WIN,WIN,WIN,WIN,LOSE,WIN,3-4,2-6,2-5,4-4,2-6,3-5,4-4,5-2,4-4
Texans,Ravens,Colts,Jaguars,Steelers,Falcons,Saints,Panthers,Buccaneers,Bengals,Cardinals,Jaguars,Broncos,Jets,Titans,Browns,Titans,Colts
,LOSE,LOSE,WIN,WIN,LOSE,WIN,LOSE,3-4,4-3,1-7,6-2,3-5,4-3,3-4,4-3,3-4,3-5
Chargers,Dolphins,Titans,Vikings,Raiders,Cowboys,Chiefs,Bears,Jets,Lions,Packers,Ravens,Patriots,Broncos,Raiders,Bills,Broncos,Chiefs
,LOSE,LOSE,WIN,WIN,LOSE,LOSE,WIN,4-3,6-2,2-5,6-2,2-6,3-5,3-5,5-3,3-5,6-2
Falcons,Panthers,Packers,Lions,Jaguars,Texans,Commanders,Buccaneers,Titans,Vikings,Cardinals,Saints,Jets,Buccaneers,Panthers,Colts,Bears,Saints
,WIN,WIN,LOSE,LOSE,WIN,LOSE,WIN,LOSE,4-4,1-7,4-4,4-3,3-4,1-6,3-5,2-6,4-4
Colts,Jaguars,Texans,Ravens,Rams,Titans,Jaguars,Browns,Saints,Panthers,Patriots,Buccaneers,Titans,Bengals,Steelers,Falcons,Raiders,Texans
,LOSE,WIN,WIN,LOSE,WIN,LOSE,LOSE,LOSE,1-6,2-6,3-4,3-4,4-3,4-3,4-4,3-5,3-4
Steelers,49ers,Browns,Raiders,Texans,Ravens,Rams,Jaguars,Titans,Packers,Browns,Bengals,Cardinals,Patriots,Colts,Bengals,Seahawks,Ravens
,LOSE,WIN,WIN,LOSE,WIN,WIN,LOSE,3-4,2-5,4-3,4-3,1-7,2-6,3-5,4-3,5-2,6-2
Bills,Jets,Raiders,Commanders,Dolphins,Jaguars,Giants,Patriots,Buccaneers,Bengals,Broncos,Jets,Eagles,Chiefs,Cowboys,Chargers,Patriots,Dolphins
,LOSE,WIN,WIN,WIN,LOSE,WIN,LOSE,WIN,4-3,3-5,4-3,7-1,6-2,5-2,3-4,2-6,6-2
Broncos,Raiders,Commanders,Dolphins,Bears,Jets,Chiefs,Packers,Chiefs,Bills,Vikings,Browns,Texans,Chargers,Lions,Patriots,Chargers,Raiders
,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,WIN,WIN,5-3,4-4,4-3,3-4,3-4,6-2,2-6,3-4,3-5
Rams,Seahawks,49ers,Bengals,Colts,Eagles,Cardinals,Steelers,Cowboys,Packers,Seahawks,Cardinals,Browns,Ravens,Commanders,Saints,Giants,49ers
,WIN,LOSE,LOSE,WIN,LOSE,WIN,LOSE,LOSE,2-5,5-2,1-7,4-3,6-2,3-5,4-4,2-6,5-3
Dolphins,Chargers,Patriots,Broncos,Bills,Giants,Panthers,Eagles,Patriots,Chiefs,Raiders,Jets,Commanders,Titans,Jets,Cowboys,Ravens,Bills
,WIN,WIN,WIN,LOSE,WIN,WIN,LOSE,WIN,6-2,3-5,4-3,3-5,3-4,4-3,5-2,6-2,5-3
Eagles,Patriots,Vikings,Buccaneers,Commanders,Rams,Jets,Dolphins,Commanders,Cowboys,Chiefs,Bills,49ers,Cowboys,Seahawks,Giants,Cardinals,Giants
,WIN,WIN,WIN,WIN,WIN,LOSE,WIN,WIN,5-2,6-2,5-3,5-3,5-2,5-2,2-6,1-7,2-6
Bears,Packers,Buccaneers,Chiefs,Broncos,Commanders,Vikings,Raiders,Chargers,Saints,Panthers,Lions,Vikings,Lions,Browns,Cardinals,Falcons,Packers
,LOSE,LOSE,LOSE,LOSE,WIN,LOSE,WIN,LOSE,4-4,1-6,6-2,4-4,6-2,4-3,1-7,4-4,2-5
Browns,Bengals,Steelers,Titans,Ravens,49ers,Colts,Seahawks,Cardinals,Ravens,Steelers,Broncos,Rams,Jaguars,Bears,Texans,Jets,Bengals
,WIN,LOSE,WIN,LOSE,WIN,WIN,LOSE,1-7,6-2,4-3,3-5,3-5,6-2,2-6,3-4,4-3,4-3
Vikings,Buccaneers,Eagles,Chargers,Panthers,Chiefs,Bears,49ers,Packers,Falcons,Saints,Broncos,Bears,Raiders,Bengals,Lions,Packers,Lions
,LOSE,LOSE,LOSE,WIN,LOSE,WIN,WIN,WIN,4-4,4-4,3-5,2-6,3-5,4-3,6-2,2-5,6-2
Saints,Titans,Panthers,Packers,Buccaneers,Patriots,Texans,Jaguars,Colts,Bears,Vikings,Falcons,Lions,Panthers,Giants,Rams,Buccaneers,Falcons
,WIN,WIN,LOSE,LOSE,WIN,LOSE,LOSE,WIN,2-6,4-4,4-4,6-2,1-6,2-6,3-5,3-4,4-4
Cowboys,Giants,Jets,Cardinals,Patriots,49ers,Chargers,Rams,Eagles,Giants,Panthers,Commanders,Seahawks,Eagles,Bills,Dolphins,Lions,Commanders
,WIN,WIN,LOSE,WIN,LOSE,WIN,WIN,7-1,2-6,1-6,3-5,5-2,7-1,5-3,6-2,6-2,3-5
Chiefs,Lions,Jaguars,Bears,Jets,Vikings,Broncos,Chargers,Broncos,Dolphins,Eagles,Raiders,Packers,Bills,Patriots,Raiders,Bengals,Chargers
,LOSE,WIN,WIN,WIN,WIN,WIN,WIN,LOSE,6-2,7-1,3-5,2-5,5-3,2-6,3-5,4-3,3-4
Raiders,Broncos,Bills,Steelers,Chargers,Packers,Patriots,Bears,Lions,Giants,Jets,Dolphins,Chiefs,Vikings,Chargers,Chiefs,Colts,Broncos
,WIN,LOSE,LOSE,LOSE,WIN,WIN,LOSE,LOSE,2-6,4-3,6-2,6-2,4-4,3-4,6-2,3-5,3-5
Jaguars,Colts,Chiefs,Texans,Falcons,Bills,Colts,Saints,Steelers,49ers,Titans,Texans,Bengals,Browns,Ravens,Buccaneers,Panthers,Titans
